price,time
13576.4,2018-01-01 20:10:23
13585.62,2018-01-01 20:10:25
13586.87,2018-01-01 20:10:26
13588.0,2018-01-01 20:10:28
13585.82,2018-01-01 20:10:29
13596.87,2018-01-01 20:10:30
13592.53,2018-01-01 20:10:31
13597.22,2018-01-01 20:10:32
13597.22,2018-01-01 20:10:33
13597.22,2018-01-01 20:10:34
13597.21,2018-01-01 20:10:35
13600.0,2018-01-01 20:10:36
13600.0,2018-01-01 20:10:37
13615.92,2018-01-01 20:10:38
13601.98,2018-01-01 20:10:39
13591.97,2018-01-01 20:10:40
13600.0,2018-01-01 20:10:41
13600.01,2018-01-01 20:10:42
13575.21,2018-01-01 20:10:43
13575.21,2018-01-01 20:10:46
13575.2,2018-01-01 20:10:47
13580.03,2018-01-01 20:10:48
13578.69,2018-01-01 20:10:49
13576.21,2018-01-01 20:10:50
13581.58,2018-01-01 20:10:51
13581.59,2018-01-01 20:10:52
13574.2,2018-01-01 20:10:53
13574.19,2018-01-01 20:10:54
13575.2,2018-01-01 20:10:55
13576.21,2018-01-01 20:10:57
13576.2,2018-01-01 20:10:58
13576.21,2018-01-01 20:11:00
13561.31,2018-01-01 20:11:02
13561.29,2018-01-01 20:11:03
13558.09,2018-01-01 20:11:04
13558.07,2018-01-01 20:11:05
13552.42,2018-01-01 20:11:06
13546.58,2018-01-01 20:11:07
13542.43,2018-01-01 20:11:08
13557.2,2018-01-01 20:11:09
13558.48,2018-01-01 20:11:10
13577.21,2018-01-01 20:11:12
13577.22,2018-01-01 20:11:15
13585.48,2018-01-01 20:11:17
13585.48,2018-01-01 20:11:18
13582.08,2018-01-01 20:11:20
13597.34,2018-01-01 20:11:25
13569.05,2018-01-01 20:11:26
13580.0,2018-01-01 20:11:27
13569.06,2018-01-01 20:11:29
13589.99,2018-01-01 20:11:31
13590.0,2018-01-01 20:11:34
13595.13,2018-01-01 20:11:35
13580.23,2018-01-01 20:11:43
13580.24,2018-01-01 20:11:45
13572.02,2018-01-01 20:11:46
13570.18,2018-01-01 20:11:47
13591.54,2018-01-01 20:11:49
13575.19,2018-01-01 20:11:50
13564.73,2018-01-01 20:11:53
13564.73,2018-01-01 20:11:54
13570.18,2018-01-01 20:11:55
13555.46,2018-01-01 20:11:56
13549.23,2018-01-01 20:11:57
13546.76,2018-01-01 20:11:58
13545.58,2018-01-01 20:11:59
13563.78,2018-01-01 20:12:00
13563.36,2018-01-01 20:12:01
